종목명,,"선물옵션
구분",,"최종
거래일",,행사가격,,"기초자산
기준가격",,,,잔존일수,,금리(%),,배당  현재가치,,변동성,,,이론가격,,,,
"C 202403    96,000(  10)",,콜,,20240314,,"96,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"25,401.020000 ",,,,
"C 202403   100,000(  10)",,콜,,20240314,,"100,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"22,678.670000 ",,,,
"C 202403   110,000(  10)",,콜,,20240314,,"110,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"16,788.110000 ",,,,
"C 202403   120,000(  10)",,콜,,20240314,,"120,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"12,178.580000 ",,,,
"C 202403   130,000(  10)",,콜,,20240314,,"130,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"8,621.240000 ",,,,
"C 202403   140,000(  10)",,콜,,20240314,,"140,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"6,008.560000 ",,,,
"C 202403   150,000(  10)",,콜,,20240314,,"150,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"4,167.640000 ",,,,
"C 202403   160,000(  10)",,콜,,20240314,,"160,000.00000000 ",,"115,400",,,,277 ,,3.750000 ,,890.186001 ,,0.331 ,,,"2,849.300000 ",,,,
"C 202406    88,000(  10)",,콜,,20240613,,"88,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"32,760.550000 ",,,,
"C 202406    92,000(  10)",,콜,,20240613,,"92,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"29,889.410000 ",,,,
"C 202406    96,000(  10)",,콜,,20240613,,"96,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"27,201.730000 ",,,,
"C 202406   100,000(  10)",,콜,,20240613,,"100,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"24,610.350000 ",,,,
"C 202406   110,000(  10)",,콜,,20240613,,"110,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"19,027.550000 ",,,,
"C 202406   120,000(  10)",,콜,,20240613,,"120,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"14,439.630000 ",,,,
"C 202406   130,000(  10)",,콜,,20240613,,"130,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"10,898.890000 ",,,,
"C 202406   140,000(  10)",,콜,,20240613,,"140,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"8,166.590000 ",,,,
"C 202406   150,000(  10)",,콜,,20240613,,"150,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"6,023.630000 ",,,,
"C 202406   160,000(  10)",,콜,,20240613,,"160,000.00000000 ",,"115,400",,,,368 ,,3.750000 ,,"1,181.379489 ",,0.331 ,,,"4,322.580000 ",,,,
"P 202307    78,000(  10)",,풋,,20230713,,"78,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.050000 ,,,,
"P 202307    80,000(  10)",,풋,,20230713,,"80,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.190000 ,,,,
"P 202307    82,000(  10)",,풋,,20230713,,"82,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.580000 ,,,,
"P 202307    84,000(  10)",,풋,,20230713,,"84,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,1.610000 ,,,,
"P 202307    86,000(  10)",,풋,,20230713,,"86,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,3.940000 ,,,,
"P 202307    88,000(  10)",,풋,,20230713,,"88,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,8.540000 ,,,,
"P 202307    90,000(  10)",,풋,,20230713,,"90,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,18.380000 ,,,,
"P 202307    92,000(  10)",,풋,,20230713,,"92,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,38.530000 ,,,,
"P 202307    94,000(  10)",,풋,,20230713,,"94,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,73.330000 ,,,,
"P 202307    96,000(  10)",,풋,,20230713,,"96,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.358 ,,,183.140000 ,,,,
"P 202307    98,000(  10)",,풋,,20230713,,"98,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.352 ,,,265.980000 ,,,,
"P 202307   100,000(  10)",,풋,,20230713,,"100,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.353 ,,,428.220000 ,,,,
"P 202307   105,000(  10)",,풋,,20230713,,"105,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.342 ,,,"1,045.030000 ",,,,
"P 202307   110,000(  10)",,풋,,20230713,,"110,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.344 ,,,"2,329.650000 ",,,,
"P 202307   115,000(  10)",,풋,,20230713,,"115,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,"4,358.600000 ",,,,
"P 202307   120,000(  10)",,풋,,20230713,,"120,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.342 ,,,"7,314.340000 ",,,,
"P 202307   125,000(  10)",,풋,,20230713,,"125,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,"10,951.220000 ",,,,
"P 202307   130,000(  10)",,풋,,20230713,,"130,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,"15,174.060000 ",,,,
"P 202307   135,000(  10)",,풋,,20230713,,"135,000.00000000 ",,"115,400",,,,32 ,,3.750000 ,,299.476485 ,,0.337 ,,,"19,759.600000 ",,,,
"P 202308    78,000(  10)",,풋,,20230810,,"78,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,6.470000 ,,,,
"P 202308    80,000(  10)",,풋,,20230810,,"80,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,12.200000 ,,,,
"P 202308    82,000(  10)",,풋,,20230810,,"82,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,22.190000 ,,,,
"P 202308    84,000(  10)",,풋,,20230810,,"84,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,40.940000 ,,,,
"P 202308    86,000(  10)",,풋,,20230810,,"86,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,64.810000 ,,,,
"P 202308    88,000(  10)",,풋,,20230810,,"88,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,111.410000 ,,,,
"P 202308    90,000(  10)",,풋,,20230810,,"90,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,172.810000 ,,,,
"P 202308    92,000(  10)",,풋,,20230810,,"92,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,262.000000 ,,,,
"P 202308    94,000(  10)",,풋,,20230810,,"94,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,390.510000 ,,,,
"P 202308    96,000(  10)",,풋,,20230810,,"96,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,548.710000 ,,,,
"P 202308    98,000(  10)",,풋,,20230810,,"98,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,781.110000 ,,,,
"P 202308   100,000(  10)",,풋,,20230810,,"100,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"1,042.150000 ",,,,
"P 202308   105,000(  10)",,풋,,20230810,,"105,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"2,072.860000 ",,,,
"P 202308   110,000(  10)",,풋,,20230810,,"110,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"3,674.450000 ",,,,
"P 202308   115,000(  10)",,풋,,20230810,,"115,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"5,883.450000 ",,,,
"P 202308   120,000(  10)",,풋,,20230810,,"120,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"8,706.810000 ",,,,
"P 202308   125,000(  10)",,풋,,20230810,,"125,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"12,095.210000 ",,,,
"P 202308   130,000(  10)",,풋,,20230810,,"130,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"15,959.210000 ",,,,
"P 202308   135,000(  10)",,풋,,20230810,,"135,000.00000000 ",,"115,400",,,,60 ,,3.750000 ,,299.476485 ,,0.337 ,,,"20,192.400000 ",,,,
"P 202309    60,000(  10)",,풋,,20230914,,"60,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.130000 ,,,,
"P 202309    64,000(  10)",,풋,,20230914,,"64,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,0.760000 ,,,,
"P 202309    68,000(  10)",,풋,,20230914,,"68,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,3.100000 ,,,,
"P 202309    72,000(  10)",,풋,,20230914,,"72,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,10.420000 ,,,,
"P 202309    76,000(  10)",,풋,,20230914,,"76,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,31.320000 ,,,,
"P 202309    80,000(  10)",,풋,,20230914,,"80,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,81.350000 ,,,,
"P 202309    84,000(  10)",,풋,,20230914,,"84,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,183.270000 ,,,,
"P 202309    88,000(  10)",,풋,,20230914,,"88,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,368.450000 ,,,,
"P 202309    92,000(  10)",,풋,,20230914,,"92,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,687.250000 ,,,,
"P 202309    96,000(  10)",,풋,,20230914,,"96,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"1,198.430000 ",,,,
"P 202309    98,000(  10)",,풋,,20230914,,"98,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"1,537.480000 ",,,,
"P 202309   100,000(  10)",,풋,,20230914,,"100,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"1,941.520000 ",,,,
"P 202309   105,000(  10)",,풋,,20230914,,"105,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"3,237.240000 ",,,,
"P 202309   110,000(  10)",,풋,,20230914,,"110,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"5,012.990000 ",,,,
"P 202309   115,000(  10)",,풋,,20230914,,"115,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"7,289.080000 ",,,,
"P 202309   120,000(  10)",,풋,,20230914,,"120,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"10,048.240000 ",,,,
"P 202309   125,000(  10)",,풋,,20230914,,"125,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"13,246.540000 ",,,,
"P 202309   130,000(  10)",,풋,,20230914,,"130,000.00000000 ",,"115,400",,,,95 ,,3.750000 ,,299.476485 ,,0.337 ,,,"16,840.150000 ",,,,
