종목명,,"선물옵션
구분",,"최종
거래일",,행사가격,,"기초자산
기준가격",,,,잔존일수,,금리(%),,배당  현재가치,,변동성,,,이론가격,
"C 202406   480,000(  10)",,콜,,20240613,,"480,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"161,885.670000 ",
"C 202406   500,000(  10)",,콜,,20240613,,"500,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"147,809.850000 ",
"C 202406   520,000(  10)",,콜,,20240613,,"520,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"134,251.400000 ",
"C 202406   560,000(  10)",,콜,,20240613,,"560,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"110,054.910000 ",
"C 202406   600,000(  10)",,콜,,20240613,,"600,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"89,096.710000 ",
"C 202406   640,000(  10)",,콜,,20240613,,"640,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"70,953.440000 ",
"C 202406   680,000(  10)",,콜,,20240613,,"680,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"56,532.220000 ",
"C 202406   720,000(  10)",,콜,,20240613,,"720,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"44,698.410000 ",
"C 202406   760,000(  10)",,콜,,20240613,,"760,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.311 ,,,"34,355.400000 ",
"P 202307   480,000(  10)",,풋,,20230713,,"480,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,15.800000 ,
"P 202307   490,000(  10)",,풋,,20230713,,"490,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,38.930000 ,
"P 202307   500,000(  10)",,풋,,20230713,,"500,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,86.970000 ,
"P 202307   520,000(  10)",,풋,,20230713,,"520,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,399.500000 ,
"P 202307   540,000(  10)",,풋,,20230713,,"540,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.314 ,,,"2,126.910000 ",
"P 202307   560,000(  10)",,풋,,20230713,,"560,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.297 ,,,"4,265.810000 ",
"P 202307   580,000(  10)",,풋,,20230713,,"580,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,966.440000 ",
"P 202307   600,000(  10)",,풋,,20230713,,"600,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"15,031.660000 ",
"P 202307   620,000(  10)",,풋,,20230713,,"620,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"25,675.120000 ",
"P 202307   640,000(  10)",,풋,,20230713,,"640,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.266 ,,,"38,305.790000 ",
"P 202307   660,000(  10)",,풋,,20230713,,"660,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"55,091.220000 ",
"P 202307   680,000(  10)",,풋,,20230713,,"680,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"72,877.340000 ",
"P 202307   700,000(  10)",,풋,,20230713,,"700,000.00000000 ",,"607,000",,,,30 ,,3.750000 ,,0.000000 ,,0.279 ,,,"91,690.330000 ",
"P 202308   480,000(  10)",,풋,,20230810,,"480,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,305.850000 ,
"P 202308   490,000(  10)",,풋,,20230810,,"490,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,527.520000 ,
"P 202308   500,000(  10)",,풋,,20230810,,"500,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,877.650000 ,
"P 202308   520,000(  10)",,풋,,20230810,,"520,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"2,075.620000 ",
"P 202308   540,000(  10)",,풋,,20230810,,"540,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"4,291.150000 ",
"P 202308   560,000(  10)",,풋,,20230810,,"560,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,980.230000 ",
"P 202308   580,000(  10)",,풋,,20230810,,"580,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"13,714.510000 ",
"P 202308   600,000(  10)",,풋,,20230810,,"600,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"21,725.140000 ",
"P 202308   620,000(  10)",,풋,,20230810,,"620,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"32,047.730000 ",
"P 202308   640,000(  10)",,풋,,20230810,,"640,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"44,582.570000 ",
"P 202308   660,000(  10)",,풋,,20230810,,"660,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"59,075.950000 ",
"P 202308   680,000(  10)",,풋,,20230810,,"680,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"75,185.230000 ",
"P 202308   700,000(  10)",,풋,,20230810,,"700,000.00000000 ",,"607,000",,,,58 ,,3.750000 ,,0.000000 ,,0.279 ,,,"92,561.110000 ",
"P 202309   340,000(  10)",,풋,,20230914,,"340,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,0.100000 ,
"P 202309   360,000(  10)",,풋,,20230914,,"360,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,0.870000 ,
